timestampString;value;temperature;Fault
2016-Feb-02 22:20:00;4.92;3139.67;0
2016-Feb-02 22:30:00;4.92;3139.67;0
2016-Feb-02 22:40:00;4.92;3139.67;0
2016-Feb-02 22:50:00;4.92;3139.67;0
2016-Feb-02 23:00:00;4.92;3139.67;0
2016-Feb-02 23:10:00;4.92;3139.67;0
2016-Feb-02 23:20:00;4.92;4660;0
2016-Feb-02 23:30:00;4.92;2479.5;0
2016-Feb-02 23:40:00;4.92;50.5;0
2016-Feb-02 23:50:00;4.92;51.5;0
2016-Feb-03 00:00:00;4.92;51.5;0
2016-Feb-03 00:10:00;4.92;1708.67;0
2016-Feb-03 00:20:00;2.92;4640.67;0
2016-Feb-03 00:30:00;2.92;2415.25;0
2016-Feb-03 00:40:00;2.41;51.5;0
2016-Feb-03 00:50:00;2.41;51.67;0
2016-Feb-03 01:00:00;2.41;51.5;0
2016-Feb-03 01:10:00;2.41;51.5;0
2016-Feb-03 01:20:00;2.41;3533;0
2016-Feb-03 01:30:00;2.41;4744.67;0
2016-Feb-03 01:40:00;2.41;66.33;0
2016-Feb-03 01:50:00;2.41;51.43;0
2016-Feb-03 02:00:00;2.41;51.43;0
2016-Feb-03 02:10:00;2.41;51.5;0
2016-Feb-03 02:20:00;2.41;2380.25;0
2016-Feb-03 02:30:00;2.41;4676;0
2016-Feb-03 02:40:00;2.91;2505.5;0
2016-Feb-03 02:50:00;3.41;51.5;0
2016-Feb-03 03:00:00;3.41;66;0
2016-Feb-03 03:10:00;2.9;74.6;0
2016-Feb-03 03:20:00;2.9;75.4;0
2016-Feb-03 03:30:00;2.9;2752.6;0
2016-Feb-03 03:40:00;2.9;4652;0
2016-Feb-03 03:50:00;2.4;4652;0
2016-Feb-03 04:00:00;2.4;4821.25;0
2016-Feb-03 04:10:00;2.4;5001;1
2016-Feb-03 04:20:00;2.4;5107;1
2016-Feb-03 04:30:00;2.4;5231;1
2016-Feb-03 04:40:00;2.4;5327;1
2016-Feb-03 04:50:00;2.4;5434.5;1
2016-Feb-03 05:00:00;2.4;5538;1
2016-Feb-03 05:10:00;2.4;5646.5;1
2016-Feb-03 05:20:00;2.4;5736;1
2016-Feb-03 05:30:00;1.9;5808;1
2016-Feb-03 05:40:00;2.15;5883;1
2016-Feb-03 05:50:00;2.15;5949;1
2016-Feb-03 06:00:00;2.92;5087;1
2016-Feb-03 06:10:00;3.41;4664;0
2016-Feb-03 06:20:00;3.41;5211.5;1
2016-Feb-03 06:30:00;3.91;5694.5;1
2016-Feb-03 06:40:00;3.91;5991.75;1
2016-Feb-03 06:50:00;3.91;6189;1
2016-Feb-03 07:00:00;3.91;6337.5;1
2016-Feb-03 07:10:00;3.91;6494.5;1
2016-Feb-03 07:20:00;3.91;6656.5;1
2016-Feb-03 07:30:00;3.91;2373;0
2016-Feb-03 07:40:00;3.91;50;0
2016-Feb-03 07:50:00;3.91;3394.5;0
2016-Feb-03 08:00:00;3.41;4700.25;0
2016-Feb-03 08:10:00;3.41;164.67;0
2016-Feb-03 08:20:00;3.41;51;0
2016-Feb-03 08:30:00;3.41;51.5;0
2016-Feb-03 08:40:00;3.41;52;0
2016-Feb-03 08:50:00;2.91;2544.5;0
2016-Feb-03 09:00:00;2.41;5331.5;1
2016-Feb-03 09:10:00;2.41;4600;0
2016-Feb-03 09:20:00;1.91;4736;0
2016-Feb-03 09:30:00;1.91;5237.33;1
2016-Feb-03 09:40:00;1.91;5720.25;1
2016-Feb-03 09:50:00;1.91;5968;1
2016-Feb-03 10:00:00;1.91;6293.33;1
2016-Feb-03 10:10:00;1.91;6569.8;1
2016-Feb-03 10:20:00;2.41;50.67;0
2016-Feb-03 10:30:00;2.92;51;0
2016-Feb-03 10:40:00;2.92;51.5;0
2016-Feb-03 10:50:00;2.92;3573.75;0
2016-Feb-03 11:00:00;3.42;4702.67;0
2016-Feb-03 11:10:00;3.42;213;0
2016-Feb-03 11:20:00;3.67;51.5;0
2016-Feb-03 11:30:00;3.67;51.5;0
2016-Feb-03 11:40:00;4.17;52;0
2016-Feb-03 11:50:00;4.17;51.4;0
2016-Feb-03 12:00:00;4.67;1085;0
2016-Feb-03 12:10:00;4.92;4603.25;0
2016-Feb-03 12:20:00;5.43;4736.33;0
2016-Feb-03 12:30:00;5.43;5628.63;1
2016-Feb-03 12:40:00;5.93;6290.75;1
2016-Feb-03 12:50:00;6.18;4484;0
2016-Feb-03 13:00:00;6.18;51.6;0
2016-Feb-03 13:10:00;6.95;51.33;0
2016-Feb-03 13:20:00;7.99;51;0
