timestamp,timestampString,value,id
1485907327664,2017-02-01T00:02:07.664+0000,46,7ceddafe-00fb-4b92-98e6-55d0f1af221a
1485907392475,2017-02-01T00:03:12.475+0000,3953,750f3999-c079-4941-9790-521a90b74189
1485907457285,2017-02-01T00:04:17.285+0000,4269,928ff861-2cdc-46b6-87df-ad8b6b2a675f
1485907586775,2017-02-01T00:06:26.775+0000,4315,aa67057c-18cf-43e5-9a8e-e973ac4dbc48
1485908235214,2017-02-01T00:17:15.214+0000,4371,672acc7e-c5c3-4619-98fc-1d02ac6c683e
1485909077855,2017-02-01T00:31:17.855+0000,4425,9718c89b-a87b-4385-9309-113f54cb4523
1485909985434,2017-02-01T00:46:25.434+0000,4418,6d83941f-ded5-44e0-9188-52584c5c1eb2
1485910828004,2017-02-01T01:00:28.004+0000,46,4d6542f9-83fd-4a7a-9ba8-b629496d756c
1485910957953,2017-02-01T01:02:37.953+0000,43,e61ae30b-6c58-42a1-938d-e3a7ff0f0a01
1485911022765,2017-02-01T01:03:42.765+0000,46,0220971c-963f-4841-a1cb-905c9d838484
1485911477305,2017-02-01T01:11:17.305+0000,44,827e93ef-8c0b-4cb4-a611-65789441110f
1485911542194,2017-02-01T01:12:22.194+0000,46,1c0e3fec-55e8-4e52-aa10-2d3aeb1e45c1
1485911931774,2017-02-01T01:18:51.774+0000,45,7b8488f2-50f0-4145-8fc8-4757afcbc056
1485911996755,2017-02-01T01:19:56.755+0000,46,7c873813-7dbc-41ce-b2db-fe9d93ff7a98
1485912061724,2017-02-01T01:21:01.724+0000,44,35bb0bd0-6e80-4226-ab9f-81253d81489d
1485912256434,2017-02-01T01:24:16.434+0000,46,80052675-83f8-4a3c-afd8-188a025d690f
1485912450995,2017-02-01T01:27:30.995+0000,4323,b2ab4f92-9e8c-434b-a5c2-2156cf9886fa
1485912839875,2017-02-01T01:33:59.875+0000,4368,5c7b32d7-8450-43c6-97ed-6011c326e2f9
1485913812445,2017-02-01T01:50:12.445+0000,4369,cd52ad07-e126-40d4-b09a-1c3002360987
1485914136825,2017-02-01T01:55:36.825+0000,4419,c88e9d44-fe64-4807-a1c9-c05c13872238
1485915173925,2017-02-01T02:12:53.925+0000,4430,cfec4f92-b0ea-4b8e-ad55-d6eaded1dee9
1485915757674,2017-02-01T02:22:37.674+0000,381,b81a1859-9e6f-4f60-a019-3198b943afb3
1485915822594,2017-02-01T02:23:42.594+0000,46,32842edd-1e6c-4835-92f9-68ffa398c73b
1485915952435,2017-02-01T02:25:52.435+0000,44,917d65c7-b861-425a-8669-965bcf2fd600
1485916017324,2017-02-01T02:26:57.324+0000,46,af1d518e-3ef2-4ada-ae9e-961a422fd510
1485916341724,2017-02-01T02:32:21.724+0000,45,a52c1529-9fae-44a1-8011-9cda530dede7
1485916471644,2017-02-01T02:34:31.644+0000,46,a0597287-a50d-4d9b-9ba2-227535c92376
1485916861165,2017-02-01T02:41:01.165+0000,44,24657ff1-7fa5-442e-937c-95182c115282
1485916926114,2017-02-01T02:42:06.114+0000,46,2dc058a7-89fc-46ea-88bf-1a157095f0f7
1485916991004,2017-02-01T02:43:11.004+0000,44,69eb0014-5b5b-40e0-ba43-5036803f1817
1485917055924,2017-02-01T02:44:15.924+0000,43,a02babf3-f1cf-474b-9420-1ac45a268f73
1485917120734,2017-02-01T02:45:20.734+0000,46,3a8b5c47-fd93-4f8f-8738-9b64c5b35514
1485917185654,2017-02-01T02:46:25.654+0000,45,407cfabf-21a7-4377-a429-87a5f52f0e7a
1485917250674,2017-02-01T02:47:30.674+0000,46,9e414719-31ce-40d1-adcf-a4d128a714b4
1485917315515,2017-02-01T02:48:35.515+0000,44,e8464728-1e96-4851-ac82-5af99997b45a
1485917445435,2017-02-01T02:50:45.435+0000,46,e3126943-aef4-4087-b365-1dd19a77d3bc
