timestampString;value;temperature
2016-Feb-11 00:30:00;17.5;1.57
2016-Feb-11 00:40:00;2952.17;1.57
2016-Feb-11 00:50:00;2952.17;1.57
2016-Feb-11 01:00:00;4507.5;2.07
2016-Feb-11 01:10:00;4578;2.07
2016-Feb-11 01:20:00;117;2.32
2016-Feb-11 01:30:00;17.33;2.32
2016-Feb-11 01:40:00;17.5;2.32
2016-Feb-11 01:50:00;2854.67;2.32
2016-Feb-11 02:00:00;4393.5;1.82
2016-Feb-11 02:10:00;4482;1.82
2016-Feb-11 02:20:00;4547;1.57
2016-Feb-11 02:30:00;2309.5;1.57
2016-Feb-11 02:40:00;17.33;1.07
2016-Feb-11 02:50:00;17.5;1.07
2016-Feb-11 03:00:00;1492.67;1.07
2016-Feb-11 03:10:00;4391.33;0.57
2016-Feb-11 03:20:00;4491;0.57
2016-Feb-11 03:30:00;4536;0.57
2016-Feb-11 03:40:00;4536;0.57
2016-Feb-11 03:50:00;2300;0.57
2016-Feb-11 04:00:00;17;0.57
2016-Feb-11 04:10:00;17.67;0.57
2016-Feb-11 04:20:00;4331;0.32
2016-Feb-11 04:30:00;4441;0.32
2016-Feb-11 04:40:00;4548.5;0.07
2016-Feb-11 04:50:00;4548.5;0.07
2016-Feb-11 05:00:00;4592;0.07
2016-Feb-11 05:10:00;167;0.07
2016-Feb-11 05:20:00;18;0.07
2016-Feb-11 05:30:00;18;0.07
2016-Feb-11 05:40:00;4130.6;0.07
2016-Feb-11 05:50:00;4498;-0.43
2016-Feb-11 06:00:00;4548;-0.43
2016-Feb-11 06:10:00;4607;-0.43
2016-Feb-11 06:20:00;4637;-0.43
2016-Feb-11 06:30:00;85.2;-0.43
2016-Feb-11 06:40:00;17.5;-0.43
2016-Feb-11 06:50:00;17.5;-0.43
2016-Feb-11 07:00:00;2992;-0.43
2016-Feb-11 07:10:00;4547;-0.43
2016-Feb-11 07:20:00;4547;-0.43
2016-Feb-11 07:30:00;4584;-0.43
2016-Feb-11 07:40:00;4584;-0.43
2016-Feb-11 07:50:00;17;-0.43
2016-Feb-11 08:00:00;17;-0.43
2016-Feb-11 08:10:00;92;-0.43
2016-Feb-11 08:20:00;4340.75;-0.43
2016-Feb-11 08:30:00;4482;-0.43
2016-Feb-11 08:40:00;4527;0.08
2016-Feb-11 08:50:00;4577;0.58
2016-Feb-11 09:00:00;4596;1.09
